"day"	"slot"	"time"	"pillar"	"topic"	"visual"	"caption"	"cta"	"link"	"status"
"7"	"NIGHT"	"19:00"	"Venta"	"Primero entendemos tu proceso, luego construimos"	"assets/social/active-feed/10-proceso-primero.jpg"	"YC Systems no empieza vendiendo tecnologia al azar. Primero entendemos como opera tu negocio, que se repite, que se pierde, que se puede medir y que resultado necesitas. Luego construimos una solucion clara."	"Escribe PROYECTO y empezamos con una propuesta inicial."	"https://ycsystems.io/contact/"	"Posted"
"8"	"AM"	"09:00"	"Venta"	"Reservas, clientes y tareas no deben vivir regados"	"assets/social/active-feed/11-reservas-control.jpg"	"Cuando reservas, clientes, tareas y documentos estan regados, el equipo pierde tiempo y control. YC Systems puede centralizar tu operacion para que todos trabajen con mas claridad."	"Escribe ORDEN si quieres centralizar tu operacion."	"https://ycsystems.io/contact/"	"Posted"
"8"	"NIGHT"	"19:00"	"Venta"	"Tus productos merecen una presentacion profesional"	"assets/social/active-feed/13-catalogo-profesional.jpg"	"Un catalogo digital bien presentado ayuda al cliente a entender, confiar y comprar. YC Systems puede crear una experiencia visual clara para mostrar productos y recibir pedidos."	"Escribe CATALOGO si quieres presentar mejor tus productos."	"https://ycsystems.io/contact/"	"Posted"
"9"	"AM"	"09:00"	"Venta"	"Si tus reportes se hacen a mano, estas perdiendo tiempo"	"assets/social/active-feed/14-reportes.jpg"	"Rehacer reportes cada semana consume tiempo y aumenta errores. YC Systems puede automatizar indicadores para que veas lo importante sin trabajo repetido."	"Escribe REPORTES si quieres automatizar tus indicadores."	"https://ycsystems.io/contact/"	"Posted"
"9"	"NIGHT"	"19:00"	"Venta"	"Tecnologia clara para operar mejor"	"assets/social/active-feed/16-transformacion.jpg"	"La transformacion digital empieza cuando un proceso real se convierte en una solucion clara. YC Systems ayuda a negocios a operar mejor con webs, sistemas, automatizacion y SaaS."	"Escribe PROYECTO si quieres iniciar tu solucion."	"https://ycsystems.io/contact/"	"Posted"
"10"	"AM"	"09:00"	"Venta"	"Tu negocio necesita una web que venda confianza"	"assets/social/active-feed/01-web-confianza.jpg"	"Una pagina web profesional no es solo diseno. Debe explicar que haces, mostrar confianza, guiar al cliente y convertir visitas en contactos reales. YC Systems construye presencia digital clara para negocios que quieren verse serios y vender mejor."	"Escribe WEB si quieres una pagina profesional para tu negocio."	"https://ycsystems.io/contact/"	"Posted"
"10"	"NIGHT"	"19:00"	"Venta"	"Automatizar no es lujo, es orden"	"assets/social/active-feed/03-automatizar-orden.jpg"	"Automatizar significa reducir tareas repetidas, evitar errores y tener informacion lista cuando el equipo la necesita. YC Systems puede ayudarte con flujos, alertas, reportes, integraciones y procesos mas claros."	"Escribe AUTO si quieres automatizar procesos."	"https://ycsystems.io/contact/"	"Posted"
"11"	"AM"	"09:00"	"Venta"	"Una tienda online debe vender, no solo verse bonita"	"assets/social/active-feed/04-tienda-vende.jpg"	"Una tienda o catalogo digital debe mostrar productos, responder dudas, recibir pedidos y facilitar el contacto. YC Systems construye experiencias listas para vender desde movil, WhatsApp y web."	"Escribe TIENDA si quieres vender mejor online."	"https://ycsystems.io/contact/"	"Posted"
"11"	"NIGHT"	"19:00"	"Venta"	"Mantenimiento para que tu web no se quede atras"	"assets/social/active-feed/06-mantenimiento.jpg"	"Publicar una web o sistema no es el final. Tu negocio cambia, tus ofertas cambian y tus clientes esperan informacion actualizada. YC Systems ofrece mantenimiento, mejoras, contenido y soporte mensual."	"Escribe SOPORTE si necesitas mantenimiento digital."	"https://ycsystems.io/contact/"	"Posted"
"12"	"AM"	"09:00"	"Autoridad"	"Creamos soluciones para negocios reales"	"assets/social/active-feed/07-soluciones-reales.jpg"	"Todo lo que YC Systems construye nace de problemas reales: seguimiento, ventas, reservas, clientes, rutas, reportes, pagos, contenido y operaciones. La meta es que la tecnologia trabaje para el negocio."	"Cuentame que proceso quieres mejorar."	"https://ycsystems.io/contact/"	"Posted"
"12"	"NIGHT"	"19:00"	"Venta"	"Un dashboard te ayuda a decidir mas rapido"	"assets/social/active-feed/09-dashboard-datos.jpg"	"Cuando los datos estan regados, las decisiones se atrasan. Un dashboard muestra ventas, tareas, estados, inventario, reservas o pagos en un lugar claro para actuar con foco."	"Escribe DASHBOARD si quieres ver tus numeros claros."	"https://ycsystems.io/contact/"	"Posted"
"13"	"NIGHT"	"19:00"	"Venta"	"Cuando tu negocio crece, el desorden tambien crece"	"assets/social/active-feed/12-negocio-crece.jpg"	"Crecer sin sistema puede multiplicar errores, retrasos y perdida de informacion. YC Systems construye soluciones digitales para sostener el crecimiento con mas control."	"Escribe CRECER si quieres preparar tu operacion."	"https://ycsystems.io/contact/"	"Posted"
"1"	"AM"	"09:15"	"Educativo"	"Por que una web debe vender confianza"	"assets/social/static-feed-v3/01-web-confianza-v3.jpg"	"Una pagina web profesional no es solo diseno. Debe explicar que haces, mostrar confianza, responder dudas y guiar al cliente hacia el siguiente paso. Si una web se ve bonita pero no aclara la oferta, todavia falta estrategia."	"Idea util: revisa si tu web explica en menos de 10 segundos que vendes y como contactarte."	"https://ycsystems.io/contact/"	"Posted"
"1"	"PM"	"15:15"	"Prueba real"	"GhostWear como tienda online real"	"assets/social/reels/03-ghostwear-case-reel.mp4"	"GhostWear es un caso de cliente: una marca streetwear con dominio activo, catalogo visual, productos, carrito y pedido por WhatsApp/DM. El objetivo no era solo verse bien; era estar lista para vender."	"Caso para analizar: una marca pequena tambien puede verse seria si su experiencia digital esta bien construida."	"https://ycsystems.io/projects/"	"Posted"
"2"	"AM"	"09:15"	"Educativo"	"Cuando Excel deja de ser suficiente"	"assets/social/reels/02-excel-a-sistema-reel.mp4"	"Excel ayuda al inicio, pero cuando el negocio crece aparecen errores: datos duplicados, tareas sin responsable, pedidos perdidos y reportes lentos. Un sistema interno no reemplaza el orden; lo convierte en proceso."	"Senal para guardar: si buscas la misma informacion en tres lugares, ya necesitas estructura."	"https://ycsystems.io/contact/"	"Posted"
"2"	"PM"	"15:15"	"Prueba real"	"Antony Real Estate como presencia profesional"	"assets/social/static-feed-v3/04-antony-caso-v3.jpg"	"Antony Real Estate muestra como un asesor inmobiliario puede presentarse con mas confianza: oferta clara, acompanamiento, contacto directo y una pagina pensada para generar credibilidad."	"Ejemplo real: cuando vendes confianza, tu presencia digital tiene que hablar por ti."	"https://ycsystems.io/projects/"	"Posted"
"3"	"AM"	"09:15"	"Educativo"	"Automatizar no es reemplazar personas"	"assets/social/static-feed-v3/05-automatizar-v3.jpg"	"Automatizar no significa quitar el trato humano. Significa eliminar tareas repetidas para que el equipo pueda enfocarse en vender, atender mejor y tomar decisiones con informacion clara."	"Pregunta clave: que tarea haces cada semana que podria quedar automatizada?"	"https://ycsystems.io/contact/"	"Posted"
"3"	"PM"	"15:15"	"Prueba real"	"LPS Company como grupo empresarial"	"assets/social/static-feed-v3/06-lps-caso-v3.jpg"	"LPS Company necesitaba una base digital mas seria para presentar sus marcas y servicios. Una pagina corporativa no solo informa: ordena la percepcion de la empresa."	"Leccion: cuando una empresa crece, su marca digital debe crecer con ella."	"https://ycsystems.io/projects/"	"Posted"
"4"	"AM"	"09:15"	"Educativo"	"Una tienda online debe reducir dudas"	"assets/social/static-feed-v3/07-tienda-dudas-v3.jpg"	"Una tienda online vende mejor cuando responde las preguntas antes de que el cliente escriba: precio, talla, categoria, disponibilidad, forma de pedido y confianza. Menos dudas, mas conversion."	"Tip: si tu cliente pregunta siempre lo mismo, eso debe estar mejor explicado en la tienda."	"https://ycsystems.io/contact/"	"Posted"
"4"	"PM"	"15:15"	"Producto"	"CleanLoop: operaciones de lavanderia"	"assets/social/static-feed-v3/08-cleanloop-v3.jpg"	"CleanLoop representa una idea importante: negocios de servicios pueden operar con pedidos, rutas, estados, clientes, pagos y reportes en una plataforma. Ese tipo de orden abre espacio para crecer."	"No es solo una app; es una forma de operar mejor."	"https://ycsystems.io/products/"	"Posted"
"5"	"AM"	"09:15"	"Educativo"	"Un SaaS empieza con un proceso real"	"assets/social/static-feed-v3/09-saas-proceso-v3.jpg"	"Un SaaS no empieza con una app gigante. Empieza con un problema repetido, un usuario claro y un proceso que se puede ordenar. Primero se valida el flujo; luego se escala el producto."	"Guarda esta idea si tienes una plataforma en mente."	"https://ycsystems.io/products/"	"Posted"
"5"	"PM"	"15:15"	"Producto"	"SOC: control comercial"	"assets/social/static-feed-v3/10-soc-v3.jpg"	"SOC esta pensado para operaciones comerciales que necesitan ver disponibilidad, reservas, separaciones, reportes y estados desde un solo lugar. Menos confusion, mas control."	"Para empresas que manejan muchas piezas, centralizar informacion cambia el juego."	"https://ycsystems.io/products/"	"Posted"
"6"	"AM"	"09:15"	"Educativo"	"El mantenimiento tambien vende"	"assets/social/static-feed-v3/11-mantenimiento-v3.jpg"	"Una web abandonada pierde fuerza: textos viejos, enlaces rotos, ofertas desactualizadas y contenido sin ritmo. El mantenimiento mantiene la marca viva y lista para oportunidades."	"Revisa hoy: tu web todavia representa el nivel actual de tu negocio?"	"https://ycsystems.io/contact/"	"Posted"
"6"	"PM"	"15:15"	"Producto"	"BrokerControl: seguimiento inmobiliario"	"assets/social/static-feed-v3/12-brokercontrol-v3.jpg"	"BrokerControl organiza clientes, pipeline, agenda y seguimiento inmobiliario. En ventas, perder una oportunidad por falta de control puede costar mas que construir el sistema."	"La tecnologia correcta no presiona al cliente; ayuda a atenderlo mejor."	"https://ycsystems.io/products/"	"Ready"
"7"	"AM"	"09:15"	"Educativo"	"Un dashboard no es solo graficos"	"assets/social/static-feed-v3/13-dashboard-v3.jpg"	"Un dashboard sirve cuando ayuda a decidir. Debe mostrar ventas, reservas, inventario, pagos, estados o alertas de forma clara. Si solo se ve bonito pero no responde preguntas, no esta cumpliendo su trabajo."	"Dato util: un buen dashboard reduce reuniones innecesarias."	"https://ycsystems.io/contact/"	"Ready"
"7"	"PM"	"15:15"	"Marca"	"Nexus y la forma de construir"	"assets/social/reels/04-nexus-proceso-reel.mp4"	"Nexus representa la forma de trabajar de YC Systems: analizar, disenar, construir y entregar soluciones digitales que convierten operaciones reales en resultados claros."	"No todo contenido debe vender; tambien debe explicar como pensamos."	"https://ycsystems.io/"	"Ready"
"8"	"AM"	"09:15"	"Educativo"	"Un CRM cuida oportunidades"	"assets/social/static-feed-v3/15-crm-v3.jpg"	"Un CRM evita que los clientes se pierdan entre chats, notas y memoria. Sirve para dar seguimiento, saber en que etapa esta cada persona y no depender de recordar todo manualmente."	"Senal clara: si olvidas dar seguimiento, necesitas CRM."	"https://ycsystems.io/contact/"	"Ready"
"8"	"PM"	"15:15"	"Oferta suave"	"Que puede construir YC Systems"	"assets/social/static-feed-v3/16-yc-construye-v3.jpg"	"YC Systems puede construir webs, tiendas online, sistemas internos, dashboards, SaaS MVP, apps, automatizaciones y mantenimiento. Pero el punto no es la lista; es resolver un problema real del negocio."	"Cuando el problema esta claro, la solucion se construye mejor."	"https://ycsystems.io/contact/"	"Ready"
"9"	"AM"	"09:15"	"Educativo"	"Mobile-first ya no es opcional"	"assets/social/reels/01-web-confianza-reel.mp4"	"Muchos clientes llegan desde Instagram, WhatsApp o busquedas en el celular. Si la experiencia movil falla, el negocio pierde oportunidades antes de conversar."	"Prueba rapida: abre tu web en el celular y mira si comprarias o escribirias."	"https://ycsystems.io/projects/"	"Ready"
"9"	"PM"	"15:15"	"Oferta suave"	"Antes de cotizar hay que entender"	"assets/social/static-feed-v3/18-cotizar-v3.jpg"	"Antes de hablar de precio, hay que entender objetivo, alcance, prioridad y resultado esperado. Una propuesta seria nace de un diagnostico claro, no de improvisar una cifra."	"Buen proyecto empieza con buenas preguntas."	"https://ycsystems.io/contact/"	"Ready"
"10"	"AM"	"09:15"	"Educativo"	"Orden antes que tecnologia"	"assets/social/static-feed-v3/19-orden-v3.jpg"	"La tecnologia funciona mejor cuando el proceso esta claro. Primero se entiende como trabaja el negocio, luego se disena el flujo y despues se construye la solucion."	"Leccion YC Systems: buen software empieza con buen diagnostico."	"https://ycsystems.io/"	"Ready"
"10"	"PM"	"15:15"	"Autoridad"	"Software como activo del negocio"	"assets/social/static-feed-v3/20-software-activo-v3.jpg"	"Una solucion digital bien construida se convierte en activo: mejora operacion, ordena informacion, aumenta confianza y permite crecer con mas control. Esa es la vision de YC Systems."	"La meta no es tener mas pantallas; es tener mejores resultados."	"https://ycsystems.io/"	"Ready"
"11"	"AM"	"09:15"	"Educativo"	"Por que una web debe vender confianza"	"assets/social/static-feed-v3/01-web-confianza-v3.jpg"	"Una pagina web profesional no es solo diseno. Debe explicar que haces, mostrar confianza, responder dudas y guiar al cliente hacia el siguiente paso. Si una web se ve bonita pero no aclara la oferta, todavia falta estrategia."	"Idea util: revisa si tu web explica en menos de 10 segundos que vendes y como contactarte."	"https://ycsystems.io/contact/"	"Ready"
"11"	"PM"	"15:15"	"Prueba real"	"GhostWear como tienda online real"	"assets/social/reels/03-ghostwear-case-reel.mp4"	"GhostWear es un caso de cliente: una marca streetwear con dominio activo, catalogo visual, productos, carrito y pedido por WhatsApp/DM. El objetivo no era solo verse bien; era estar lista para vender."	"Caso para analizar: una marca pequena tambien puede verse seria si su experiencia digital esta bien construida."	"https://ycsystems.io/projects/"	"Ready"
"12"	"AM"	"09:15"	"Educativo"	"Cuando Excel deja de ser suficiente"	"assets/social/reels/02-excel-a-sistema-reel.mp4"	"Excel ayuda al inicio, pero cuando el negocio crece aparecen errores: datos duplicados, tareas sin responsable, pedidos perdidos y reportes lentos. Un sistema interno no reemplaza el orden; lo convierte en proceso."	"Senal para guardar: si buscas la misma informacion en tres lugares, ya necesitas estructura."	"https://ycsystems.io/contact/"	"Ready"
"12"	"PM"	"15:15"	"Prueba real"	"Antony Real Estate como presencia profesional"	"assets/social/static-feed-v3/04-antony-caso-v3.jpg"	"Antony Real Estate muestra como un asesor inmobiliario puede presentarse con mas confianza: oferta clara, acompanamiento, contacto directo y una pagina pensada para generar credibilidad."	"Ejemplo real: cuando vendes confianza, tu presencia digital tiene que hablar por ti."	"https://ycsystems.io/projects/"	"Ready"
"13"	"AM"	"09:15"	"Educativo"	"Automatizar no es reemplazar personas"	"assets/social/static-feed-v3/05-automatizar-v3.jpg"	"Automatizar no significa quitar el trato humano. Significa eliminar tareas repetidas para que el equipo pueda enfocarse en vender, atender mejor y tomar decisiones con informacion clara."	"Pregunta clave: que tarea haces cada semana que podria quedar automatizada?"	"https://ycsystems.io/contact/"	"Ready"
"13"	"PM"	"15:15"	"Prueba real"	"LPS Company como grupo empresarial"	"assets/social/static-feed-v3/06-lps-caso-v3.jpg"	"LPS Company necesitaba una base digital mas seria para presentar sus marcas y servicios. Una pagina corporativa no solo informa: ordena la percepcion de la empresa."	"Leccion: cuando una empresa crece, su marca digital debe crecer con ella."	"https://ycsystems.io/projects/"	"Ready"
"14"	"AM"	"09:15"	"Educativo"	"Una tienda online debe reducir dudas"	"assets/social/static-feed-v3/07-tienda-dudas-v3.jpg"	"Una tienda online vende mejor cuando responde las preguntas antes de que el cliente escriba: precio, talla, categoria, disponibilidad, forma de pedido y confianza. Menos dudas, mas conversion."	"Tip: si tu cliente pregunta siempre lo mismo, eso debe estar mejor explicado en la tienda."	"https://ycsystems.io/contact/"	"Ready"
"14"	"PM"	"15:15"	"Producto"	"CleanLoop: operaciones de lavanderia"	"assets/social/static-feed-v3/08-cleanloop-v3.jpg"	"CleanLoop representa una idea importante: negocios de servicios pueden operar con pedidos, rutas, estados, clientes, pagos y reportes en una plataforma. Ese tipo de orden abre espacio para crecer."	"No es solo una app; es una forma de operar mejor."	"https://ycsystems.io/products/"	"Ready"
"15"	"AM"	"09:15"	"Educativo"	"Un SaaS empieza con un proceso real"	"assets/social/static-feed-v3/09-saas-proceso-v3.jpg"	"Un SaaS no empieza con una app gigante. Empieza con un problema repetido, un usuario claro y un proceso que se puede ordenar. Primero se valida el flujo; luego se escala el producto."	"Guarda esta idea si tienes una plataforma en mente."	"https://ycsystems.io/products/"	"Ready"
"15"	"PM"	"15:15"	"Producto"	"SOC: control comercial"	"assets/social/static-feed-v3/10-soc-v3.jpg"	"SOC esta pensado para operaciones comerciales que necesitan ver disponibilidad, reservas, separaciones, reportes y estados desde un solo lugar. Menos confusion, mas control."	"Para empresas que manejan muchas piezas, centralizar informacion cambia el juego."	"https://ycsystems.io/products/"	"Ready"
"16"	"AM"	"09:15"	"Educativo"	"El mantenimiento tambien vende"	"assets/social/static-feed-v3/11-mantenimiento-v3.jpg"	"Una web abandonada pierde fuerza: textos viejos, enlaces rotos, ofertas desactualizadas y contenido sin ritmo. El mantenimiento mantiene la marca viva y lista para oportunidades."	"Revisa hoy: tu web todavia representa el nivel actual de tu negocio?"	"https://ycsystems.io/contact/"	"Ready"
"16"	"PM"	"15:15"	"Producto"	"BrokerControl: seguimiento inmobiliario"	"assets/social/static-feed-v3/12-brokercontrol-v3.jpg"	"BrokerControl organiza clientes, pipeline, agenda y seguimiento inmobiliario. En ventas, perder una oportunidad por falta de control puede costar mas que construir el sistema."	"La tecnologia correcta no presiona al cliente; ayuda a atenderlo mejor."	"https://ycsystems.io/products/"	"Ready"
"17"	"AM"	"09:15"	"Educativo"	"Un dashboard no es solo graficos"	"assets/social/static-feed-v3/13-dashboard-v3.jpg"	"Un dashboard sirve cuando ayuda a decidir. Debe mostrar ventas, reservas, inventario, pagos, estados o alertas de forma clara. Si solo se ve bonito pero no responde preguntas, no esta cumpliendo su trabajo."	"Dato util: un buen dashboard reduce reuniones innecesarias."	"https://ycsystems.io/contact/"	"Ready"
"17"	"PM"	"15:15"	"Marca"	"Nexus y la forma de construir"	"assets/social/reels/04-nexus-proceso-reel.mp4"	"Nexus representa la forma de trabajar de YC Systems: analizar, disenar, construir y entregar soluciones digitales que convierten operaciones reales en resultados claros."	"No todo contenido debe vender; tambien debe explicar como pensamos."	"https://ycsystems.io/"	"Ready"
"18"	"AM"	"09:15"	"Educativo"	"Un CRM cuida oportunidades"	"assets/social/static-feed-v3/15-crm-v3.jpg"	"Un CRM evita que los clientes se pierdan entre chats, notas y memoria. Sirve para dar seguimiento, saber en que etapa esta cada persona y no depender de recordar todo manualmente."	"Senal clara: si olvidas dar seguimiento, necesitas CRM."	"https://ycsystems.io/contact/"	"Ready"
"18"	"PM"	"15:15"	"Oferta suave"	"Que puede construir YC Systems"	"assets/social/static-feed-v3/16-yc-construye-v3.jpg"	"YC Systems puede construir webs, tiendas online, sistemas internos, dashboards, SaaS MVP, apps, automatizaciones y mantenimiento. Pero el punto no es la lista; es resolver un problema real del negocio."	"Cuando el problema esta claro, la solucion se construye mejor."	"https://ycsystems.io/contact/"	"Ready"
"19"	"AM"	"09:15"	"Educativo"	"Mobile-first ya no es opcional"	"assets/social/reels/01-web-confianza-reel.mp4"	"Muchos clientes llegan desde Instagram, WhatsApp o busquedas en el celular. Si la experiencia movil falla, el negocio pierde oportunidades antes de conversar."	"Prueba rapida: abre tu web en el celular y mira si comprarias o escribirias."	"https://ycsystems.io/projects/"	"Ready"
"19"	"PM"	"15:15"	"Oferta suave"	"Antes de cotizar hay que entender"	"assets/social/static-feed-v3/18-cotizar-v3.jpg"	"Antes de hablar de precio, hay que entender objetivo, alcance, prioridad y resultado esperado. Una propuesta seria nace de un diagnostico claro, no de improvisar una cifra."	"Buen proyecto empieza con buenas preguntas."	"https://ycsystems.io/contact/"	"Ready"
"20"	"AM"	"09:15"	"Educativo"	"Orden antes que tecnologia"	"assets/social/static-feed-v3/19-orden-v3.jpg"	"La tecnologia funciona mejor cuando el proceso esta claro. Primero se entiende como trabaja el negocio, luego se disena el flujo y despues se construye la solucion."	"Leccion YC Systems: buen software empieza con buen diagnostico."	"https://ycsystems.io/"	"Ready"
"20"	"PM"	"15:15"	"Autoridad"	"Software como activo del negocio"	"assets/social/static-feed-v3/20-software-activo-v3.jpg"	"Una solucion digital bien construida se convierte en activo: mejora operacion, ordena informacion, aumenta confianza y permite crecer con mas control. Esa es la vision de YC Systems."	"La meta no es tener mas pantallas; es tener mejores resultados."	"https://ycsystems.io/"	"Ready"
"21"	"AM"	"09:15"	"Educativo"	"Por que una web debe vender confianza"	"assets/social/static-feed-v3/01-web-confianza-v3.jpg"	"Una pagina web profesional no es solo diseno. Debe explicar que haces, mostrar confianza, responder dudas y guiar al cliente hacia el siguiente paso. Si una web se ve bonita pero no aclara la oferta, todavia falta estrategia."	"Idea util: revisa si tu web explica en menos de 10 segundos que vendes y como contactarte."	"https://ycsystems.io/contact/"	"Ready"
"21"	"PM"	"15:15"	"Prueba real"	"GhostWear como tienda online real"	"assets/social/reels/03-ghostwear-case-reel.mp4"	"GhostWear es un caso de cliente: una marca streetwear con dominio activo, catalogo visual, productos, carrito y pedido por WhatsApp/DM. El objetivo no era solo verse bien; era estar lista para vender."	"Caso para analizar: una marca pequena tambien puede verse seria si su experiencia digital esta bien construida."	"https://ycsystems.io/projects/"	"Ready"
